Title,Artist,Album,Video ID,Duration
Girls & Boys,Blur,,1YXc0Zrcsx0,
Hotstepper,TRINIX,,fyDQiQK58bM,
Baby Don't Hurt Me,David Guetta,,0zFzJg2srvQ,
I Don't Wanna Wait,David Guetta,,Y8mU9sIczcc,
On My Mind,Algrthm,,yTip1VCEWrw,
Hey Ya!,Outkast,,Jx_O6PHdWww,
Ride on Time,Black Box,,NCJ2F8LUAQs,
Capitaine abandonné,Gold,,1IfOUUzdNts,
Electricity,Orchestral Manoeuvres in the Dark,,xjsgkrRulOs,
Be My Lover,La Bouche,,P3MtiifXp9k,
Night Fever,Bee Gees,,Lc8uj8eId7E,
Your the One That I Want,Film Musical Orchestra,,2yYnlFXnVM8,
